model,pca,accuracy,Negative_precision,Negative_recall,Negative_f1,Negative_support,Other_precision,Other_recall,Other_f1,Other_support,Positive_precision,Positive_recall,Positive_f1,Positive_support
GaussianNB,50,0.5648050579557429,0.6056670602125147,0.6282914880587875,0.6167718665464382,1633.0,0.3835616438356164,0.40842787682333875,0.3956043956043956,617.0,0.5993079584775086,0.5601552393272963,0.5790705449682381,1546.0
GaussianNB,100,0.5489989462592202,0.579454253611557,0.6631965707287202,0.6185037121644774,1633.0,0.3420707732634338,0.42301458670988656,0.3782608695652174,617.0,0.6357388316151202,0.47865459249676584,0.5461254612546126,1546.0
GaussianNB,200,0.5489989462592202,0.579454253611557,0.6631965707287202,0.6185037121644774,1633.0,0.3420707732634338,0.42301458670988656,0.3782608695652174,617.0,0.6357388316151202,0.47865459249676584,0.5461254612546126,1546.0
GaussianNB,None,0.5403055848261328,0.5839228295819936,0.5560318432333129,0.5696361355081556,1633.0,0.3924812030075188,0.42301458670988656,0.40717628705148207,617.0,0.5596446700507615,0.5705045278137129,0.5650224215246636,1546.0
LinearSVM,50,0.5987881981032666,0.616580310880829,0.6558481322718922,0.6356083086053412,1633.0,0.5109717868338558,0.26418152350081037,0.3482905982905983,617.0,0.5971264367816091,0.6720569210866753,0.632379793061473,1546.0
LinearSVM,100,0.6227608008429927,0.6499395405078597,0.6582976117575016,0.6540918770915729,1633.0,0.5024875621890548,0.3273905996758509,0.39646712463199213,617.0,0.6247126436781609,0.703104786545925,0.6615946439440049,1546.0
LinearSVM,200,0.6227608008429927,0.6499395405078597,0.6582976117575016,0.6540918770915729,1633.0,0.5024875621890548,0.3273905996758509,0.39646712463199213,617.0,0.6247126436781609,0.703104786545925,0.6615946439440049,1546.0
LinearSVM,None,0.6230242360379347,0.6503327283726558,0.6582976117575016,0.6542909312233719,1633.0,0.5024875621890548,0.3273905996758509,0.39646712463199213,617.0,0.6249282021826537,0.703751617076326,0.6620018253726803,1546.0
LogisticRegression,50,0.6022128556375131,0.6267143709004174,0.6436007348438457,0.6350453172205438,1633.0,0.4940898345153664,0.3387358184764992,0.40192307692307694,617.0,0.6049528301886793,0.6636481241914618,0.6329426280074029,1546.0
LogisticRegression,100,0.6238145416227608,0.6537515375153752,0.6509491733006736,0.6523473458115987,1633.0,0.49581589958158995,0.3841166936790924,0.4328767123287671,617.0,0.6312056737588653,0.6908150064683053,0.6596664607782582,1546.0
LogisticRegression,200,0.6238145416227608,0.6537515375153752,0.6509491733006736,0.6523473458115987,1633.0,0.49581589958158995,0.3841166936790924,0.4328767123287671,617.0,0.6312056737588653,0.6908150064683053,0.6596664607782582,1546.0
LogisticRegression,None,0.6232876712328768,0.6541538461538462,0.6509491733006736,0.6525475751995089,1633.0,0.4957627118644068,0.37925445705024313,0.4297520661157025,617.0,0.6291936433195998,0.6914618369987063,0.6588597842835131,1546.0
RandomForest,50,0.6119599578503688,0.6325153374233129,0.6313533374157991,0.6319338032485443,1633.0,0.6221498371335505,0.3095623987034036,0.4134199134199134,617.0,0.5922538999462076,0.7121604139715395,0.6466960352422908,1546.0
RandomForest,100,0.6127502634351949,0.639873417721519,0.6191059399877527,0.6293183940242764,1633.0,0.6529850746268657,0.28363047001620745,0.3954802259887006,617.0,0.5852156057494866,0.7373868046571799,0.6525472238122496,1546.0
RandomForest,200,0.6127502634351949,0.639873417721519,0.6191059399877527,0.6293183940242764,1633.0,0.6529850746268657,0.28363047001620745,0.3954802259887006,617.0,0.5852156057494866,0.7373868046571799,0.6525472238122496,1546.0
RandomForest,None,0.6032665964172813,0.620442319187089,0.6356399265156154,0.6279491833030852,1633.0,0.5750708215297451,0.32901134521880065,0.41855670103092785,617.0,0.5926553672316384,0.6785252263906857,0.6326899879372738,1546.0
