model,pca,accuracy,Negative_precision,Negative_recall,Negative_f1,Negative_support,Other_precision,Other_recall,Other_f1,Other_support,Positive_precision,Positive_recall,Positive_f1,Positive_support
GaussianNB,50,0.5566385669125395,0.5911697247706422,0.6313533374157991,0.6106011252591057,1633.0,0.3768768768768769,0.406807131280389,0.3912704598597038,617.0,0.5995670995670995,0.53751617076326,0.5668485675306958,1546.0
GaussianNB,100,0.5426765015806112,0.5651725914477074,0.6717697489283527,0.6138780078343593,1633.0,0.3360323886639676,0.4035656401944895,0.36671575846833576,617.0,0.6409335727109515,0.46183699870633893,0.5368421052631579,1546.0
GaussianNB,200,0.5426765015806112,0.5651725914477074,0.6717697489283527,0.6138780078343593,1633.0,0.3360323886639676,0.4035656401944895,0.36671575846833576,617.0,0.6409335727109515,0.46183699870633893,0.5368421052631579,1546.0
GaussianNB,None,0.5405690200210748,0.5872809863724854,0.554194733619106,0.5702583490863264,1633.0,0.39082278481012656,0.40032414910858993,0.3955164131305044,617.0,0.5545286506469501,0.5821474773609314,0.5680025244556642,1546.0
LinearSVM,50,0.6082718651211801,0.6317016317016317,0.6638089406001225,0.6473574201254105,1633.0,0.5419354838709678,0.27228525121555913,0.36245954692556637,617.0,0.5971751412429378,0.6836998706338939,0.6375150784077201,1546.0
LinearSVM,100,0.6253951527924131,0.6463195691202872,0.6613594611145132,0.6537530266343826,1633.0,0.5445026178010471,0.3371150729335494,0.4164164164164164,617.0,0.6230636833046471,0.702457956015524,0.6603830951657038,1546.0
LinearSVM,200,0.6253951527924131,0.6463195691202872,0.6613594611145132,0.6537530266343826,1633.0,0.5445026178010471,0.3371150729335494,0.4164164164164164,617.0,0.6230636833046471,0.702457956015524,0.6603830951657038,1546.0
LinearSVM,None,0.6256585879873551,0.6467065868263473,0.6613594611145132,0.6539509536784741,1633.0,0.5445026178010471,0.3371150729335494,0.4164164164164164,617.0,0.6232798165137615,0.703104786545925,0.660790273556231,1546.0
LogisticRegression,50,0.6066912539515279,0.6356033452807647,0.6515615431720759,0.6434835198064711,1633.0,0.5061425061425061,0.3338735818476499,0.40234375,617.0,0.602332361516035,0.6681759379042691,0.6335479914136768,1546.0
LogisticRegression,100,0.6301369863013698,0.65569774527727,0.6589099816289039,0.657299938912645,1633.0,0.5228758169934641,0.3889789303079417,0.44609665427509293,617.0,0.6344339622641509,0.6959896507115135,0.6637877853177051,1546.0
LogisticRegression,200,0.6301369863013698,0.65569774527727,0.6589099816289039,0.657299938912645,1633.0,0.5228758169934641,0.3889789303079417,0.44609665427509293,617.0,0.6344339622641509,0.6959896507115135,0.6637877853177051,1546.0
LogisticRegression,None,0.631190727081138,0.655130540376442,0.6607470912431108,0.6579268292682927,1633.0,0.5273522975929978,0.3905996758508914,0.44878957169459965,617.0,0.6359338061465721,0.6959896507115135,0.6646077825818406,1546.0
RandomForest,50,0.6085353003161222,0.6267392619479734,0.6344151867728107,0.6305538648813147,1633.0,0.6262626262626263,0.3014586709886548,0.40700218818380746,617.0,0.5893824485373781,0.703751617076326,0.6415094339622641,1546.0
RandomForest,100,0.6161749209694415,0.6477272727272727,0.6282914880587875,0.6378613615169413,1633.0,0.6784313725490196,0.28038897893030795,0.3967889908256881,617.0,0.5825242718446602,0.7373868046571799,0.650870682272338,1546.0
RandomForest,200,0.6161749209694415,0.6477272727272727,0.6282914880587875,0.6378613615169413,1633.0,0.6784313725490196,0.28038897893030795,0.3967889908256881,617.0,0.5825242718446602,0.7373868046571799,0.650870682272338,1546.0
RandomForest,None,0.6077449947312961,0.6329723225030084,0.6442131047152481,0.6385432473444613,1633.0,0.5674157303370787,0.3273905996758509,0.41521068859198357,617.0,0.5922384701912261,0.6811125485122898,0.6335740072202166,1546.0
